                      w1           w2           w3           w4           w5           w6
O2_3726A     3715.725254  3718.471457  3718.514458  3740.469352  3740.640287  3747.086190
Ne3_3869A    3848.429950  3858.099497  3862.724063  3876.597761  3895.538694  3910.048413
H1_3889A_m   3842.087829  3861.282614  3880.390000  3899.420000  3905.000000  3950.000000
H1_4102A     4084.633589  4093.799103  4095.935564  4108.433334  4110.113141  4119.294537
H1_4341A     4322.549217  4332.509864  4333.660230  4347.675999  4350.262697  4360.488238
H1_4861A     4809.800000  4836.100000  4848.715437  4876.181741  4883.130000  4908.400000
O3_4959A     4929.281844  4946.732665  4948.310671  4970.712011  4972.820372  4984.416360
O3_5007A     4971.796688  4984.514249  4995.348943  5024.303156  5027.743260  5043.797081
He1_5876A    5845.715833  5865.712378  5867.148419  5885.578291  5888.378245  5901.854752
H1_6563A     6438.030000  6508.660000  6535.100000  6600.950000  6627.700000  6661.820000
He1_6678A    6659.110795  6670.102081  6670.734647  6688.067396  6689.800671  6698.178167
S2_6716A     6686.785257  6706.310255  6707.458647  6725.466528  6744.438091  6759.956250
S2_6731A     6686.785257  6706.310255  6725.458647  6741.466528  6744.438091  6759.956250
S3_9069A     9028.280000  9056.360000  9057.861172  9081.241507  9083.325784  9100.603298
H1_9531A     9471.122554  9489.978978  9516.201346  9556.330603  9569.193420  9600.501253
