          wavelength   ion       w1       w2       w3       w4       w5       w6
H1_4861A        4861   H1r  4810.47  4830.92   4837.6  4885.08  4890.06  4910.51
He1_4922A       4922  He1r  4889.74  4910.66  4912.11  4926.28  4928.29  4950.00
He1_5016A       5048  He1r  4999.00  5005.00  5006.00  5022.94  5024.00  5032.26
He1_5876A       5876  He1r  5843.23  5859.67  5865.77  5880.84  5900.63  5910.23
H1_6563A     6562.82   H1r  6490.74  6515.25  6520.00  6600.00  6610.34  6630.01
He1_6678A       6678  He1r  6634.69  6660.13  6663.74  6683.74  6690.52   6706.4
He1_7065A       7065  He1r  7030.78  7051.67  7052.77  7071.05  7074.46  7097.49
He1_7281A       7281  He1r  7261.42  7266.98  7280.00  7293.00  7291.00  7309.36
He1_8446A       8446  He1r  8395.74  8409.37  8442.88  8451.48  8472.63  8493.76
H1_8665A     8665.02   H1r  8635.37  8656.68  8661.87  8671.09  8684.08  8699.84
H1_8750A     8750.48   H1r  8718.52  8725.35  8733.77  8758.82  8761.61  8768.53
H1_8863A     8862.79   H1r  8717.04  8836.95  8859.06  8868.86   8884.8  8909.32
H1_9015A     9014.91   H1r  8975.87  9001.89  9004.00  9017.91  9018.04  9022.96
H1_9229A        9229   H1r  9191.22  9215.02  9224.16  9235.39  9236.18  9253.61
