                      w1           w2           w3          w4       w5       w6  signal_peak
O2_3726A_m   3665.750000  3694.260000  3716.020000  3743.70000  3754.88  3767.50        401.0
H1_3750A     3663.490000  3697.710000  3743.700000  3755.82000  3775.22  3792.04        414.0
H1_3771A     3755.820000  3763.430000  3764.470000  3776.58000  3778.32  3791.62        426.0
H1_3798A     3776.990000  3787.910000  3788.690000  3804.26000  3843.10  3858.63        442.0
H1_3835A     3803.910000  3814.150000  3828.480000  3844.05000  3844.26  3852.83        463.0
Ne3_3869A    3800.000000  3820.000000  3857.890000  3880.39000  3905.00  3950.00        483.0
H1_3889A_m   3806.900000  3828.200000  3880.390000  3899.42000  3905.00  3950.00        494.0
H1_3970A     3932.800000  3948.290000  3956.510000  3980.74000  3984.86  3999.71        541.0
He1_4026A    4003.600000  4017.490000  4018.800000  4037.83000  4038.20  4051.42        573.0
H1_4102A     4074.510000  4086.840000  4088.010000  4115.69000  4116.50  4133.18        617.0
H1_4341A     4305.950000  4321.720000  4325.040000  4352.72000  4375.04  4386.81        755.0
O3_4363A     4297.700000  4323.660000  4352.720000  4373.48000  4390.76  4416.20        768.0
He1_4471A    4443.570000  4457.220000  4461.720000  4487.67000  4490.31  4506.69        831.0
He2_4686A    4603.530000  4629.110000  4674.530000  4697.02000  4753.23  4776.26        955.0
Ar4_4711A_m  4605.000000  4635.000000  4705.670000  4722.97000  4755.00  4778.00        970.0
Ar4_4740A    4605.870000  4635.300000  4729.890000  4750.65000  4757.09  4776.10        986.0
H1_4861A     4809.800000  4836.100000  4840.620000  4878.69000  4883.13  4908.40       1057.0
O3_4959A     4925.250000  4940.450000  4940.970000  4977.31000  4980.72  4990.27       1113.0
O3_5007A     4972.262233  4985.876846  4987.310000  5031.13000  5036.60  5043.98       1141.0
He1_5876A    5833.000000  5851.100000  5863.140000  5890.83000  5893.72  5904.97       1643.0
O1_6300A_b   6267.640000  6282.940000  6290.230000  6320.38000  6322.77  6334.65       1888.0
H1_6563A_b   6438.030000  6508.660000  6535.100000  6600.95000  6627.70  6661.82       2040.0
He1_6678A    6629.200000  6656.490000  6663.220000  6688.54000  6691.35  6701.19       2107.0
S2_6716A_b   6686.700000  6698.870000  6700.900000  6743.91000  6750.60  6772.14       2129.0
He1_7065A    7029.100000  7041.640000  7055.220000  7079.44000  7087.49  7104.45       2330.0
Ar3_7136A    7091.540000  7111.040000  7119.227375  7150.76358  7154.48  7174.99       2371.0
O2_7319A_m   7288.710000  7299.170000  7304.260000  7345.90000  7349.35  7365.31       2481.0
