                      w1           w2           w3          w4           w5          w6
H1_3704A     3685.000000  3700.000000  3700.450000  3709.10000  3713.641429  3721.44427
O2_3726A_m   3665.750000  3694.260000  3716.020000  3743.70000  3754.880000  3767.50000
H1_3750A     3663.490000  3697.710000  3743.700000  3755.82000  3775.220000  3792.04000
H1_3771A     3755.820000  3763.430000  3764.470000  3776.58000  3778.320000  3791.62000
H1_3798A     3776.990000  3787.910000  3788.690000  3804.26000  3843.100000  3858.63000
H1_3835A     3803.910000  3814.150000  3828.480000  3844.05000  3844.260000  3852.83000
Ne3_3869A    3800.000000  3820.000000  3857.890000  3880.39000  3905.000000  3950.00000
H1_3889A_m   3806.900000  3828.200000  3880.390000  3899.42000  3905.000000  3950.00000
H1_3970A     3932.800000  3948.290000  3956.510000  3980.74000  3984.860000  3999.71000
He1_4026A    4003.600000  4017.490000  4018.800000  4037.83000  4038.200000  4051.42000
S2_4069A     4046.000000  4058.070000  4063.780000  4075.89000  4080.640000  4091.21000
H1_4102A     4074.510000  4086.840000  4088.010000  4115.69000  4116.500000  4133.18000
H1_4341A     4305.950000  4321.720000  4325.040000  4352.72000  4375.040000  4386.81000
O3_4363A     4297.700000  4323.660000  4352.720000  4373.48000  4390.760000  4416.20000
He1_4471A    4443.570000  4457.220000  4461.720000  4487.67000  4490.310000  4506.69000
Fe3_4658A    4601.290000  4619.370000  4646.850000  4664.15000  4759.960000  4780.82000
He2_4686A    4603.530000  4629.110000  4674.530000  4697.02000  4753.230000  4776.26000
Ar4_4711A_m  4605.000000  4635.000000  4705.670000  4722.97000  4755.000000  4778.00000
Ar4_4740A    4605.870000  4635.300000  4729.890000  4750.65000  4757.090000  4776.10000
H1_4861A     4809.800000  4836.100000  4840.620000  4878.69000  4883.130000  4908.40000
He1_4922A    4889.810000  4898.660000  4913.290000  4930.59000  4935.340000  4939.71000
O3_4959A     4925.250000  4940.450000  4940.970000  4977.31000  4980.720000  4990.27000
O3_5007A     4972.262233  4985.876846  4987.310000  5031.13000  5036.600000  5043.98000
He1_5048A    5027.570000  5035.130000  5036.130000  5051.70000  5060.810000  5072.90000
He1_5876A    5833.000000  5851.100000  5863.140000  5890.83000  5893.720000  5904.97000
O1_6300A_b   6267.640000  6282.940000  6290.230000  6320.38000  6322.770000  6334.65000
H1_6563A_b   6438.030000  6508.660000  6535.100000  6600.95000  6627.700000  6661.82000
He1_6678A    6629.200000  6656.490000  6663.220000  6688.54000  6691.350000  6701.19000
S2_6716A_b   6686.700000  6698.870000  6700.900000  6743.91000  6750.600000  6772.14000
He1_7065A    7029.100000  7041.640000  7055.220000  7079.44000  7087.490000  7104.45000
Ar3_7136A    7091.540000  7111.040000  7119.227375  7150.76358  7154.480000  7174.99000
He1_7281A    7241.850000  7255.880000  7266.300000  7299.17000  7298.760000  7308.89000
O2_7319A_m   7288.710000  7299.170000  7304.260000  7345.90000  7349.350000  7365.31000
Ar3_7751A    7707.430000  7727.610000  7742.090000  7762.86000  7765.730000  7776.38000
