            id                          file         line  wavelength     intg_flux  intg_flux_err  profile_flux  profile_flux_err          eqw    eqw_err particle                                      latex_label                 group_label pixel_mask           w1           w2           w3          w4       w5       w6          w_i          w_f    peak_wave     peak_flux          cont      cont_err        m_cont        n_cont    m_cont_err    n_cont_err     snr_line   snr_cont    z_line           amp       center      sigma  gamma  frac  alpha   a   b   c       amp_err  center_err  sigma_err  gamma_err  frac_err  alpha_err  a_err  b_err  c_err        v_r    v_r_err   sigma_vel  sigma_vel_err  sigma_thermal  sigma_instr  n_pixels   pixel_vel       FWHM_i     FWHM_p         FWZI       v_med        v_50          v_1         v_5        v_10        v_90        v_95         v_99        chisqr      redchi         aic         bic observations comments
0   GP121903_A  spectra/gp121903_osiris.fits   O2_3726A_m      3726.0  5.716241e-15   2.474834e-17  5.660802e-15      5.147153e-17    79.982724   3.285501       O2  $[OII]3726\mathring{A}$+$[OII]3729\mathring{A}$           O2_3726A+O2_3729A         no  3665.750000  3694.260000  3716.020000  3743.70000  3754.88  3767.50          NaN          NaN  4456.274544  7.435627e-16  7.077531e-17  2.835164e-18 -7.404178e-20  4.007258e-16  1.263141e-20  5.595142e-17   406.246382  24.963392  0.195947  6.686588e-16  4456.097890   3.377534    NaN   NaN    NaN NaN NaN NaN  3.994947e-18    0.023301   0.023301        NaN       NaN        NaN    NaN    NaN    NaN -11.884254   1.567560  227.220996       1.567560       2.279635          NaN      17.0  139.127983          NaN   7.953484          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN    153.265089    3.831627   60.651663   65.935264           no       no
1   GP121903_A  spectra/gp121903_osiris.fits     H1_3750A      3750.0  1.957890e-16   1.117091e-17  2.143872e-16      1.624157e-17     3.153169   0.252182       H1                             $HI3750\mathring{A}$                        none         no  3663.490000  3697.710000  3743.700000  3755.82000  3775.22  3792.04          NaN          NaN  4483.159484  1.037745e-16  6.799102e-17  1.742841e-18 -8.607035e-20  4.538581e-16  5.528956e-21  2.455142e-17    27.016218  39.011610  0.195480  3.756837e-17  4483.050114   2.271594    NaN   NaN    NaN NaN NaN NaN  1.806197e-18    0.126203   0.125995        NaN       NaN        NaN    NaN    NaN    NaN  -7.313634   8.439295  151.903338       8.425366       9.082224          NaN       9.0  138.293650          NaN   5.349196          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN     51.640732    1.395695   16.217252   21.283890           no       no
2   GP121903_A  spectra/gp121903_osiris.fits     H1_3771A      3771.0  3.010153e-16   1.017992e-17  3.108564e-16      1.520775e-17     4.760715   0.265444       H1                             $HI3771\mathring{A}$                        none         no  3755.820000  3763.430000  3764.470000  3776.58000  3778.32  3791.62          NaN          NaN  4507.976352  1.158378e-16  6.529616e-17  1.746585e-18 -6.651066e-20  3.651247e-16  3.472838e-20  1.567656e-16    36.474504  37.385053  0.195326  5.391323e-17  4507.574985   2.295783    NaN   NaN    NaN NaN NaN NaN  1.697161e-18    0.083469   0.083428        NaN       NaN        NaN    NaN    NaN    NaN -26.691936   5.550893  152.675682       5.548186       9.082224          NaN       8.0  137.532329          NaN   5.406155          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN     22.301973    1.238999    7.263207   10.396775           no       no
3   GP121903_A  spectra/gp121903_osiris.fits     H1_3798A      3798.0  4.236466e-16   1.677861e-17  4.290576e-16      1.962508e-17     6.670342   0.401304       H1                             $HI3798\mathring{A}$                        none         no  3776.990000  3787.910000  3788.690000  3804.26000  3843.10  3858.63          NaN          NaN  4541.065509  1.299676e-16  6.432318e-17  2.513861e-18  5.155205e-21  4.091306e-17  1.600773e-20  7.316628e-17    36.045001  25.587403  0.195456  6.858792e-17  4540.340698   2.494279    NaN   NaN    NaN NaN NaN NaN  1.958008e-18    0.082216   0.082227        NaN       NaN        NaN    NaN    NaN    NaN -47.850644   5.427741  164.667507       5.428459       9.082224          NaN      10.0  136.530179          NaN   5.873577          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN     20.748124    0.864505   -1.111288    2.776223           no       no
4   GP121903_A  spectra/gp121903_osiris.fits     H1_3835A      3835.0  6.119731e-16   1.223692e-17  6.261546e-16      1.951098e-17     9.744217   0.421374       H1                             $HI3835\mathring{A}$                        none         no  3803.910000  3814.150000  3828.480000  3844.05000  3844.26  3852.83          NaN          NaN  4584.495028  1.564279e-16  6.425910e-17  1.926761e-18 -5.725437e-20  3.267415e-16  2.367819e-20  1.083507e-16    69.258096  33.350840  0.195635  1.010089e-16  4585.259633   2.470198    NaN   NaN    NaN NaN NaN NaN  1.998174e-18    0.056421   0.056432        NaN       NaN        NaN    NaN    NaN    NaN  49.999550   3.689498  161.532889       3.690212       9.082224          NaN      10.0  135.236811          NaN   5.816872          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN     30.354968    1.517748   12.381718   15.788200           no       no
5   GP121903_A  spectra/gp121903_osiris.fits    Ne3_3869A      3869.0  4.356338e-15   4.414292e-17  4.337203e-15      4.528726e-17    66.042181   5.625579      Ne3                        $[NeIII]3869\mathring{A}$                        none         no  3800.000000  3820.000000  3857.890000  3880.39000  3905.00  3950.00          NaN          NaN  4625.856475  6.939874e-16  6.567322e-17  5.551963e-18 -7.504418e-20  4.128169e-16  1.337700e-20  6.221580e-17   190.472935  11.828830  0.195424  6.535751e-16  4625.096138   2.649129    NaN   NaN    NaN NaN NaN NaN  4.498993e-18    0.021057   0.021057        NaN       NaN        NaN    NaN    NaN    NaN -49.275873   1.364631  171.684725       1.364673       2.029830          NaN      15.0  134.027610          NaN   6.238222          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN     51.683549    0.993914    2.579349    8.601349           no       no
6   GP121903_A  spectra/gp121903_osiris.fits   H1_3889A_m      3889.0  1.764309e-15   1.585835e-17  1.772440e-15      1.973497e-17    28.221700   1.050118       H1       $HI3889\mathring{A}$+$HeI3889\mathring{A}$          H1_3889A+He1_3889A         no  3806.900000  3828.200000  3880.390000  3899.42000  3905.00  3950.00          NaN          NaN  4648.605270  3.168810e-16  6.280414e-17  2.229840e-18 -5.051894e-20  2.976468e-16  5.692674e-21  2.649136e-17   173.294750  28.165319  0.195487  2.670114e-16  4649.250677   2.648141    NaN   NaN    NaN NaN NaN NaN  1.969384e-18    0.022553   0.022554        NaN       NaN        NaN    NaN    NaN    NaN  41.622808   1.454473  170.780858       1.454504       9.082224          NaN      12.0  133.371721          NaN   6.235896          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN     57.831225    1.180229   11.526827   17.380558           no       no
7   GP121903_A  spectra/gp121903_osiris.fits     H1_3970A      3970.0  2.915489e-15   8.529655e-18  2.932175e-15      2.469658e-17    49.129693   0.981024       H1                             $HI3970\mathring{A}$                        none         no  3932.800000  3948.290000  3956.510000  3980.74000  3984.86  3999.71          NaN          NaN  4745.804670  4.141381e-16  5.968234e-17  1.080534e-18 -2.686617e-20  1.871839e-16  8.458222e-21  4.009774e-17   572.665827  55.234092  0.195149  3.702893e-16  4744.743490   3.158119    NaN   NaN    NaN NaN NaN NaN  2.061301e-18    0.020300   0.020300        NaN       NaN        NaN    NaN    NaN    NaN -67.034722   1.282357  199.498381       1.282357       9.082224          NaN      16.0  130.640119          NaN   7.436803          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN    210.136757    6.566774   68.734367   73.400411           no       no
8   GP121903_A  spectra/gp121903_osiris.fits    He1_4026A      4026.0  1.558271e-16   6.679065e-18  1.551096e-16      1.035579e-17     2.699897   0.186090      He1                            $HeI4026\mathring{A}$                        none         no  4003.600000  4017.490000  4018.800000  4037.83000  4038.20  4051.42          NaN          NaN  4811.982984  7.844799e-17  5.745018e-17  9.836933e-19 -3.868888e-20  2.436204e-16  1.223661e-20  5.891269e-17    30.475840  58.402535  0.195591  2.163617e-17  4813.450125   2.864731    NaN   NaN    NaN NaN NaN NaN  9.251901e-19    0.141450   0.141450        NaN       NaN        NaN    NaN    NaN    NaN  91.404669   8.812524  178.476272       8.812533       4.557702          NaN      11.0  128.843450          NaN   6.745926          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN     36.197960    1.447918   13.190351   17.186965           no       no
9   GP121903_A  spectra/gp121903_osiris.fits     H1_4102A      4102.0  2.475345e-15   1.281220e-17  2.489049e-15      1.685391e-17    44.360270   1.233186       H1                             $HI4102\mathring{A}$                        none         no  4074.510000  4086.840000  4088.010000  4115.69000  4116.50  4133.18          NaN          NaN  4902.978167  4.027235e-16  5.610987e-17  1.512838e-18 -3.249645e-20  2.154393e-16  1.374936e-20  6.750661e-17   417.427132  37.089137  0.195462  3.666148e-16  4903.785399   2.708982    NaN   NaN    NaN NaN NaN NaN  1.609647e-18    0.013734   0.013734        NaN       NaN        NaN    NaN    NaN    NaN  49.358210   0.839757  165.640652       0.839772       9.082224          NaN      17.0  126.452223          NaN   6.379166          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN     56.071801    1.752244   22.494974   27.161018           no       no
10  GP121903_A  spectra/gp121903_osiris.fits     H1_4341A      4341.0  4.226768e-15   6.122280e-18  4.150715e-15      4.135478e-17    88.154337   1.536878       H1                             $HI4341\mathring{A}$                        none         no  4305.950000  4321.720000  4325.040000  4352.72000  4375.04  4386.81          NaN          NaN  5188.372148  5.744820e-16  4.708464e-17  6.736152e-19 -2.031696e-20  1.524966e-16  4.110720e-21  2.133886e-17  1368.655989  69.898424  0.195325  5.352332e-16  5188.907314   3.092999    NaN   NaN    NaN NaN NaN NaN  3.388972e-18    0.022614   0.022614        NaN       NaN        NaN    NaN    NaN    NaN  30.922750   1.306663  178.718415       1.306663       9.082224          NaN      17.0  119.496534          NaN   7.283455          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN   1476.127463   44.731135  139.691703  144.442260           no       no
11  GP121903_A  spectra/gp121903_osiris.fits     O3_4363A      4363.0  1.245912e-15   9.372688e-18  1.220427e-15      2.096800e-17    26.443301   0.860402       O3                         $[OIII]4363\mathring{A}$                        none         no  4297.700000  4323.660000  4352.720000  4373.48000  4390.76  4416.20          NaN          NaN  5215.257089  1.934170e-16  4.615261e-17  1.275278e-18 -2.512927e-20  1.772082e-16  4.185613e-21  2.180432e-17   173.650784  36.190247  0.195516  1.530214e-16  5216.035942   3.180714    NaN   NaN    NaN NaN NaN NaN  1.666393e-18    0.039996   0.039996        NaN       NaN        NaN    NaN    NaN    NaN  44.771386   2.299132  182.839341       2.299142       2.279635          NaN      12.0  118.880522          NaN   7.490010          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN    127.224548    3.103038   52.717615   58.070184           no       no
12  GP121903_A  spectra/gp121903_osiris.fits    He1_4471A      4471.0  3.909997e-16   4.674609e-18  3.847350e-16      7.435245e-18     8.856194   0.208836      He1                            $HeI4471\mathring{A}$                        none         no  4443.570000  4457.220000  4461.720000  4487.67000  4490.31  4506.69          NaN          NaN  5345.545646  8.941431e-17  4.344247e-17  5.869903e-19 -2.098718e-20  1.556304e-16  4.916655e-21  2.630774e-17   125.409133  74.008848  0.195617  4.549627e-17  5345.604413   3.375135    NaN   NaN    NaN NaN NaN NaN  6.075172e-19    0.052040   0.052043        NaN       NaN        NaN    NaN    NaN    NaN   3.295817   2.918540  189.286590       2.918733       4.557702          NaN      15.0  115.983012          NaN   7.947836          NaN         NaN         NaN          NaN         NaN         NaN         NaN         NaN          NaN     64.033668    2.065602   27.523648   32.102730           no       no
